text	label
She ate six pieces in the morning, and twelve more pieces in the afternoon.	use_resource
How many pieces of candy does she have left?	possess
Robert wants to practice goal kicks for soccer.	state_fact
He decides to have 98 kicks before going home from the park.	possess
He takes 43 kicks before taking a break to get a drink of water.	transfer_goods_positive
He then takes another 36 kicks.	transfer_goods_positive
How many more kicks does he need to make before he goes home?	addition
Cindy has 105 stickers.	possess
She uses 23 stickers.	use_resource
She buys 45 more stickers.	transfer_money
How many stickers does cindy have now?	possess
Brian has 39 pencils.	possess
He gives 18 pencils to a friend.	transfer_goods_negative
He buys 22 more pencils.	transfer_money
How many pencils does brian have now?	possess
Karen has 252 markers.	possess
Her mother gives her 34 more markers.	transfer_goods_negative
Karen loses 11 markers.	use_resource
How many markers does she have now?	possess
Robin has 3 packages of gum.	possess
There are 18 pieces in each package.	duplication
How many pieces of gum does robin have?	possess
21 people are going to the zoo.	state_fact
There are 3 vans to take people to the zoo.	transfer_goods_positive
How many will go in each van if the same number go in each van and all of the people go to the zoo?	motion
I have 54 cents to buy candy.	possess
If each piece of bulk candy costs 3 cents, how many gumdrops can i buy?	duplication
Maggi had 3 packages of cupcakes.	possess
There are 4 cupcakes in each package.	duplication
She ate 5 cupcakes.	use_resource
How many are left?	existence
19 children take a minibus to the zoo.	transfer_goods_positive
They are to sit 2 or 3 to a seat.	state_fact
There are 7 seats.	existence
How many seats will have 3 children seated on them?	possess
At the gym, hillary swims every 6 days, runs every 4 days and cycles every 16 days.	motion
If she did all three activities today, in how many days will she do all three activities again on the same day?	state_fact
Oscar needs to ship 14 rock cds, 12 classical cds, and 8 pop cds.	require
He can pack only one type of cd in each box and he must pack the same number of cds in each box.	duplication
What is the greatest number of cds oscar can pack in each box?	duplication
I want to plant 45 sunflower plants, 81 corn plants and 63 tomato plants in my garden.	addition
If i put the same number of plants in each row and each row has only one type of plant, what is the greatest number of plants i can put in one row?	add_to_group
Cups are sold 6 to a package and plates are sold 8 to a package.	transfer_money
If you want to have the same number of each item for a party, what is the least number of packages of each you need to buy?	possess
A full moon occurs every 30 days.	duplication
If the last full moon occurred on a friday, how many days will pass before a full moon occurs again on a friday?	state_fact
Mrs. hilt has 6 boxes of markers.	possess
Each box has 19 markers in it.	duplication
If she sold each marker for $0.75, how much money would mrs. hilt earn?	transfer_money
Mrs. hilt learned that $1,348 worth of tickets were sold at the carnival.	transfer_money
If tickets cost 4 for $1, how many tickets were sold?	state_fact
Mrs. hilt had 4 pizzas.	possess
Each pizza had 8 slices.	duplication
If mrs. hilt ate 50% of the pizza slices, how many slices were left?	use_resource
Mrs. hilt sold 120 pencils for $0.35 each.	transfer_money
If half of the cost is profit, how much profit did she make on the pencils?	state_fact
Mrs. hilt runs 3½ miles every monday, wednesday, and friday.	duplication
How many miles will she run in a month in which there are 4 mondays, 4 wednesdays, and 4 fridays?	state_fact
Mrs. sheridan has 17 cats.	possess
Mr. sheridan gave her 14 more cats.	transfer_goods_negative
How many cats does mrs. sheridan have altogether?	possess
Mrs. sheridan has 22 fish.	possess
Her sister gave her 47 more fish.	transfer_goods_negative
How many fish does she have now?	possess
Mrs. heine is buying valentine’s day treats for her 2 dogs.	state_fact
If she wants to buy them 3 heart biscuits each, how many biscuits does she need to buy?	transfer_money
Mrs. heine is buying valentine’s day treats for her 2 dogs.	state_fact
If she wants to buy them 3 heart biscuits each and a sweater each, how many items does she need to buy?	transfer_money
Mrs. heine is buying valentine’s day treats for her 2 dogs.	state_fact
If she wants to buy them 5 heart biscuits each and a set of puppy boots each, how many items will she buy?	transfer_money
Mrs. hilt bought an ice cream cone for 99 cents.	transfer_money
How much would 2 ice cream cones cost?	state_fact
Mrs. hilt wants to make a border around her garden.	create
She needs 125 rocks to complete the border.	require
She has 64 rocks.	possess
How many more rocks does she need to complete the border?	addition
Mrs. hilt had 38 marbles.	possess
She lost 15 of them.	use_resource
How many marbles does she have left?	possess
Mrs. hilt and her sister drove to a concert 78 miles away.	state_fact
They drove 32 miles and then stopped for gas.	state_fact
Her sister put 28 gallons of gas in the car.	add_to_group
How many miles did they have left to drive?	possess
Mrs. hilt spent 1 hour and 30 minutes shoveling snow on saturday morning and 45 minutes shoveling snow on saturday afternoon.	transfer_money
How much total time did she spend shoveling snow?	transfer_money
There are 12 people in mrs. hilt’s living room.	existence
6 people are wearing socks and 4 people are wearing shoes.	state_fact
3 people are wearing both.	state_fact
How many people are in bare feet?	state_fact
Mrs. hilt read 21 books.	state_fact
Each book had exactly 2,010 words in it.	duplication
She sold five of her books for $4.95 each.	transfer_money
How many words did mrs. hilt read?	state_fact
Mrs. hilt has a pizza that is 35 inches in diameter.	possess
What is the radius of that pizza?	state_fact
Mrs. hilt has 6 pizzas.	possess
Each pizza has 6 slices.	duplication
She sold one-fourth (¼) of the pizza slices.	transfer_money
How many slices were left?	existence
Mrs. hilt's yard is 48 feet long and 39 feet wide.	state_fact
What's the area of mrs. hilt's back yard?	state_fact
You give 1/3 of a pan of brownies to susan and 1/6 of the pan of brownies to patrick.	transfer_goods_negative
How much of the pan of brownies did you give away?	transfer_goods_negative
You go out for a long walk.	motion
You walk 3/4 mile and then sit down to take a rest.	motion
Then you walk 3/8 of a mile.	motion
How far did you walk altogether?	motion
Pam walks 7/8 of a mile to school.	motion
Paul walks 1/2 of a mile to school.	motion
How much farther does pam walk than paul?	motion
A school wants to make a new playground by cleaning up an abandoned lot that is shaped like a rectangle.	create
They give the job of planning the playground to a group of students.	transfer_goods_negative
The students decide to use 1/4 of the playground for a basketball court and 3/8 of the playground for a soccer field.	choose
How much is left for the swings and play equipment?	existence
Marty made two types of cookies.	state_fact
He used 2/3 cup of sugar for one recipe and 1/4 cup of sugar for the other.	use_resource
How much sugar did he use in all?	use_resource
There are 365 days in one year.	existence
How many days are in 12 years?	state_fact
Lansing has 25 elementary schools.	possess
There are 247 students in each school.	duplication
How many elementary students are there altogether in lansing?	total
256 students are going to the zoo.	state_fact
They have to be divided into groups so that each teacher has one group.	possess
There are 8 teachers.	existence
How many students will be in each group?	duplication
A fruit farm packs oranges in boxes that hold 10 each.	aggregate
One day it packs 2650 oranges.	aggregate
How many boxes did they use?	use_resource
Julia has been collecting pennies since she was 3 years old.	possess
She used a machine at the bank to count her pennies.	use_resource
She had 4,380 pennies.	possess
How many dimes would that be?	state_fact
You want to give your baseball cards to your 5 best friends.	transfer_goods_negative
You have 455 baseball cards.	possess
How many would each get, if you share them equally?	duplication
Finn has 89 goldfish.	possess
32 of the goldfish die.	state_fact
How many goldfish are left?	existence
Jane has 28 old, brown sheets of drawing paper and 27 old, yellow sheets of drawing paper.	possess
How many pieces of drawing paper does she have?	possess
Mikey had 356 leaves.	possess
Some of her leaves blew away.	state_fact
Now she has 112 leaves left.	possess
How many of her leaves blew away?	state_fact
Marcus has 210 baseball cards.	possess
He has 58 more than carter.	possess
How many baseball cards does carter have?	possess
Gavin has 23 shirts.	possess
6 are blue the rest are green.	state_fact
How many green shirts does gavin have?	possess
Ethan has 31 presents.	possess
Alissa has 22 more than ethan.	possess
How many presents does alissa have?	possess
There are 5 birds in a tree.	existence
How many bird legs do you see?	state_fact
What does two dimes and 3 pennies equal?	state_fact
There are 3 spiders.	existence
How many spider legs are there?	existence
Karen wants to buy a pen that costs 75 cents.	transfer_money
She has 2 quarters and 3 dimes.	possess
Does she have enough money?	possess
Jeff has twice as many crayons as joan.	possess
Joan has 12 crayons.	possess
How many does jeff have?	possess
Tim had 50 cents.	possess
He paid 45 cents for a candy bar.	state_fact
How much change will he get?	getting
It is 2:00.	state_fact
What time will it be in three hours and forty-five minutes?	state_fact
Mrs. hilt saw an ipod for sale.	state_fact
The price tag said the ipod cost $128, but a sign announced that it was on sale for "35% off."	state_fact
How much would the ipod cost after the discount?	state_fact
Mrs. hilt wants to buy a television that regularly costs $600.	transfer_money
If the sale price is 20% off the regular price, what was the sale price?	state_fact
The recipe mrs. hilt is using calls for 2 1/3 cups of flour.	state_fact
She only has a container that holds 1/3 of a cup.	possess
How many times should she fill the container with flour?	duplication
City a received 24 1/2 inches of snow, city b received 20 2/5 inches of snow, and city c received 17 3/10 inches of snow.	transfer_goods_positive
The meteorologist lost the data for city d, however she knows the total for all 4 cities is 93 inches.	use_resource
How much snow did city d receive?	transfer_goods_positive
Mrs. hilt traveled 6, 760 miles to japan.	motion
She read one book every 450 miles she traveled.	duplication
How many books had she finished when she got to japan?	possess
Mrs. hilt earns $3,000 a month.	state_fact
Her rent is $660 each month, her monthly food bill is $350, and her insurance costs one-third of what she makes.	duplication
How much money does she have left after paying those three bills?	possess
Mrs. hilt had $4,000 in her savings account.	possess
She earned 10% interest each year.	duplication
If she left that money in the account for one year, how much will she have in the account at the end of that year?	existence
Mrs. hilt baked 7 dozen cookies and sold them for $4.25 per half-dozen.	state_fact
How much money would mrs. hilt make if she sold all of the cookies?	create
Mrs. hilt bought 15 boxes of citrus fruits from a fundraiser.	transfer_money
She paid $12 for each box.	duplication
If 6% sales tax was added to the total cost, how much was her total bill?	add_to_group
Mrs. hilt noticed two rides were 32 feet apart.	state_fact
How many yards is that?	state_fact
Mrs. hilt will buy a new pair of shoes in 11 days.	transfer_money
How many minutes must she wait before she can buy her new pair of shoes?	transfer_money
The hawks scored three touchdowns worth 7 points each.	duplication
How many points do they have?	possess
I have 28 cents in my pocket.	possess
What coins could i have?	possess
Zach scored 42 points in the football game.	state_fact
Ben scored 21 points.	state_fact
How many more points did zach score?	addition
A game spinner has 5 equal parts.	possess
Two parts are blue and three parts are purple.	state_fact
Which color would you most likely spin?	state_fact
I have 3 hundreds, 8 tens, and 3 ones.	possess
What number am i?	state_fact
Mrs. hilt traveled 21,120 feet.	motion
How many miles did she travel?	motion
Mrs. hilt collected 1,003 nickels in a jar.	gather
She went to the bank to cash them in.	motion
How much money did the bank give mrs. hilt?	transfer_goods_negative
Mrs. hilt owns a house on a lot shaped like a rectangle.	possess
The perimeter of the lot is 60 feet.	state_fact
What is the length and the width of the lot?	state_fact
Mrs. hilt bought 15 books.	transfer_money
She paid $11 for each book.	duplication
She later sold all 15 books for $25 each.	transfer_money
What is the difference between the total amount of money mrs. hilt sold the books for and the total amount of money she paid for the books?	transfer_money
Mrs. hilt earned $25 one week for shoveling snow and $50 for the next week.	state_fact
Then, she gave 2/5 of her earnings to her little sister for helping her.	transfer_goods_negative
How much money did she give to her little sister?	transfer_goods_negative
Over the weekend, the philadelphia area received an approximate 26 7/10 inches of snowfall.	transfer_goods_positive
If a province in canada received three times as much snowfall, how much would the accumulation in that province be?	transfer_goods_positive
Adam has $5.00 to buy an airplane that costs $4.28.	possess
How much change will he get?	getting
If each ball costs $1.54, how much must kyoko pay for three balls?	duplication
Tony had $20.	possess
He paid $8 for a ticket to a baseball game.	state_fact
At the game, he bought a hot dog for $3.	transfer_money
What amount of money did tony have then?	possess
Mr. guzman bought 48 doughnuts packed equally into 4 boxes.	transfer_money
How many doughnuts were in each box?	duplication
The sumata family took a five-day vacation by car.	transfer_goods_positive
Each day they drove 250 miles.	duplication
How many total miles did they drive?	state_fact
One stamp costs 34¢.	state_fact
Two stamps cost 68¢.	state_fact
Three stamps cost $1.02.	state_fact
If the cost of each stamp remains the same, how much would 4 stamps cost?	state_fact
Josh had 16 marbles in his collection.	possess
He lost 7 marbles.	use_resource
How many marbles does he have now?	possess
Megan has 19 seashells.	possess
How many more seashells does she need to find to have 25 seashells in her collection?	addition
Brad has 17 balloons.	possess
8 balloons are red and the rest are green.	state_fact
How many green balloons does brad have?	possess
There are 38 books on the shelf.	existence
Marta put 10 more books on the shelf.	add_to_group
How many books are on the shelf now?	state_fact
A bee has 6 legs.	possess
How many legs do 8 bees have?	possess
Tyler had 15 dogs.	possess
Each dog had five puppies.	duplication
How many puppies does tyler now have?	possess
The farmer had 127 apples.	possess
He gave 88 apples to his neighbor.	transfer_goods_negative
How many apples does he have now?	possess
John can read 4 books a day.	state_fact
He reads every monday and tuesday.	duplication
How many books would he read in 6 weeks?	state_fact
Jill invited 37 people to her birthday party.	state_fact
They each ate 8 pieces of pizza.	duplication
How many pieces of pizza did they eat?	use_resource
The spurs basketball team has 22 players.	possess
Each player has eleven basketballs.	duplication
How many basketballs do they have in all?	possess
The town of milburg has 5,256 grown-ups and 2,987 children.	possess
How many people live in milburg?	contain
Lisa rented 4 dvds for $4.80.	state_fact
How much did each dvd cost to rent?	duplication
There were 3,409 pieces of candy in a jar.	existence
If 145 pieces were red and the rest were blue, how many were blue?	state_fact
On friday, 1,250 people visited the zoo.	state_fact
Three times as many people visited on saturday than on friday.	duplication
How many people visited the zoo on saturday?	state_fact
Third-grade students went to a concert in 8 buses.	motion
Each bus took 45 students.	duplication
How many students went to the concert?	motion
There are 124 students making 3 stars each for the school wall.	duplication
How many stars will they make all together?	create
Marcia spent 300 minutes working on her science project.	transfer_money
How many hours did she spend on her science project?	transfer_money
In one week, an airplane pilot flew 1,134 miles on tuesday and 1,475 miles on thursday.	state_fact
If the pilot flies the same number of miles 3 weeks in a row, how many miles does he fly in all?	motion
Six students were sitting at each table in the lunchroom.	duplication
There are 34 tables.	existence
How many students were sitting in the lunchroom?	state_fact
Connie has 41 red markers and 64 blue markers.	possess
How many markers does she have altogether?	possess
Iesha has 58 books.	possess
19 are about school and the rest are about sports.	state_fact
How many books about sports does iesha have?	possess
James has 232 balloons.	possess
Amy has 101 balloons.	possess
How many more balloons does james have than amy?	addition
Sean has 45 whistles.	possess
He has 32 more whistles that charles.	possess
How many whistles does charles have?	possess
Connie has 39 marbles.	possess
Juan has 25 more marbles than connie.	possess
How many marbles does juan have?	possess
Karen has 639 crayons.	possess
Cindy has 504 crayons.	possess
How many more crayons does karen have than cindy?	addition
Jose has 85 peanuts.	possess
Kenya has 48 more than jose.	possess
How many peanuts does kenya have?	possess
Lizette has 813 stamps.	possess
She has 125 more stamps than minerva.	possess
How many stamps does minerva have?	possess
White t-shirts can be purchased in packages of 6.	state_fact
If mom buys 71 packages, how many white t-shirts will she have?	transfer_money
I have 648 pencils.	possess
If i put 4 pencils in each pencil box, how many pencil boxes will i fill?	add_to_group
Uncle dave bought 143 ice cream sandwiches.	transfer_money
If he wants to give them to his 11 hungry nieces, how many can each niece get?	transfer_goods_negative
Iesha has 344 books.	possess
136 are about school and the rest are about sports.	state_fact
How many books about sports does iesha have?	possess
James has 1222 balloons.	possess
Amy has 513 balloons.	possess
How many more balloons does james have than amy?	addition
Sean has 223 whistles.	possess
He has 95 more whistles that charles.	possess
How many whistles does charles have?	possess
Connie has 323 marbles.	possess
Juan has 175 more marbles than connie.	possess
How many marbles does juan have?	possess
Robin has 27 packages of gum.	possess
There are 18 pieces in each package.	duplication
How many pieces of gum does robin have?	possess
Mrs. hilt bought a hot dog for $1.75 and a bag of chips for 75 cents.	transfer_money
Her sister bought 2 hot dogs and 2 bags of chips.	transfer_money
How much more money did mrs. hilt's sister spend?	addition
Hilt read that north america covered an area of 9,365,290 square miles and europe covered 3,837,082 square miles.	state_fact
How much bigger is north america than europe?	state_fact
Mrs. hilt looked at her car's odometer before a trip.	state_fact
The odometer showed that she had traveled 212.3 miles.	possess
When she stopped for lunch, the odometer read 372.0.	state_fact
How many miles had she traveled?	possess
Mrs. hilt impressed 2,436 fans at the basketball game on friday.	state_fact
If the fans were seated in equal groups on 3 sets of bleachers, how many fans were on each set?	duplication
Mrs. hilt ate 1/5 of one pepperoni pizza and 3/5 of a same-sized mushroom pizza.	use_resource
How much total did she eat?	use_resource
Mrs. hilt needs to be at work by 9:00 am.	require
It takes her 10 minutes to shovel her car out of the snow, 25 minutes to prepare for the day, and 35 minutes to drive to work.	transfer_goods_positive
What time should she wake up so she can get to work on time?	getting
A chocolate chip cookie recipe calls for 2 cups of chocolate chips.	state_fact
You want to make 23 recipes for a bake sale.	create
How many cups of chocolate chips will be needed to make all the cookie recipes?	require
I have a pet golden retriever.	possess
Each year he gains 11 pounds.	duplication
He is 8 years old.	state_fact
How many pounds does he weigh?	state_fact
John can run one block in 30 seconds.	state_fact
How far can he run in 5 minutes?	state_fact
A cheetah can run 12 feet in 1 second.	state_fact
How far can he run in 1 minute?	state_fact
Mary’s car gets 20 miles per gallon of gas.	getting
How far can she drive on 14 gallons of gas?	state_fact
I walked 2 miles in 1 hour for relay for life.	motion
If i maintained this pace for the 8 hours i walk, how many miles total will i walk?	motion
I walk 1 mile every 15 minutes.	motion
I walked 3 miles.	motion
How many minutes did it take me to walk 3 miles?	transfer_goods_positive
There are 43 dogs, 72 fish, and 34 cats at my farm.	existence
How many pets do i have at my farm?	possess
Dane eats lunch at 12:30.	use_resource
It takes him 20 minutes to eat.	transfer_goods_positive
What time does dane finish eating?	state_fact
Kyle has four dimes, one nickel, and one quarter.	possess
Does he have enough to buy a book that costs $1.00?	possess
Charlie has 31 more snowballs than lucy.	possess
She has 19 snowballs.	possess
How many does charlie have?	possess
Josh had $1.80.	possess
He paid 45 cents for a candy car.	state_fact
How much change will he get?	getting
I have 9 pennies, 4 nickels, and 3 dimes.	possess
How much money do i have?	possess
The wolves, though accustomed to cold weather, also wanted to move away from the incoming winter.	motion
There are 43 packs of wolves living in the forest and 31 packs went away.	aggregate
How many wolf packs were left in the forest ?	aggregate
Upon finishing the treehouse, charlie’s mother served them freshly baked cookies.	use_resource
Charlie ate 15 cookies, his father ate 10 and his mother only ate 5. how many cookies were eaten in total ?	use_resource
At the river, 25 out of 55 salmon families went to warmer waters to avoid being frozen.	motion
How many salmon families were left in the river ?	existence
Even the chipmunks are trying to get away to find other warmer places to stay.	getting
If 21 chipmunk families were left from the original 86 families	existence
How many chipmunk families went away ?	motion
There are 67 bird families living near the mountain.	existence
If 32 bird families flew away for winter	state_fact
How many chipmunk families went away ?	motion
You have 24 cookies	possess
You want to share them equally with 6 people.	use_resource
How many cookies would each person get?	duplication
You are reading a book with 120 pages.	state_fact
If you want to read the same number of pages each night, how many would you have to read each night to finish in 10 days?	duplication
A cereal box holds 18 cups of cereal.	contain
Each serving is 2 cups.	duplication
How many servings are in the whole box?	total
A box of books weighs 42 pounds.	state_fact
Each book weighs 3 pounds.	duplication
How many books are there in the box?	existence
Sue’s mother made 75 cookies.	state_fact
She put the cookies in bags, with 3 cookies in each bag.	add_to_group
How many bags could she fill up?	state_fact
An airplane hangar is 300 feet long.	state_fact
How many planes can fit into it, end to end, if each plane is 40 feet long?	duplication
It takes 3 eggs to make a cake.	transfer_goods_positive
How many cakes can you make with 37 eggs?	create
105 people are going to a movie.	state_fact
6 people can ride in each car.	motion
How many cars are needed to get all 105 people to the movie?	require
Ms. baker has 17 cupcakes.	possess
She wants to share them equally among her 3 children so that no one gets more than anyone else.	use_resource
She gives each child as many cupcakes as possible.	transfer_goods_negative
How many cupcakes will be left over for ms. baker to eat?	existence
89 cookies are being shared equally among 4 people.	state_fact
How many does each person get?	duplication
A chocolate chip cookie recipe calls for 2 cups of chocolate chips.	state_fact
You want to make 23 recipes for a bake sale.	create
How many cups of chocolate chips will be needed to make all the cookie recipes?	require
I have a pet golden retriever.	possess
Each year he gains 11 pounds.	duplication
He is 8 years old.	state_fact
How many pounds does he weigh?	state_fact
John can run one block in 30 seconds.	state_fact
How far can he run in 5 minutes?	state_fact
A cheetah can run 12 feet in 1 second.	state_fact
How far can he run in 1 minute?	state_fact
Mary’s car gets 20 miles per gallon of gas.	getting
How far can she drive on 14 gallons of gas?	state_fact
I walked 2 miles in 1 hour for relay for life.	motion
I maintained this pace for the 8 hours i walk.	motion
How many miles total will i walk?	motion
I walk 1 mile every 15 minutes.	motion
I walked 3 miles.	motion
How many minutes it took me to walk 3 miles?	transfer_goods_positive
There are 365 days in one year.	existence
How many days are there in 12 years?	existence
Lansing has 25 elementary schools.	possess
There are 247 students in each school.	duplication
How many elementary students are there altogether in lansing?	total
A company donates 935 pencils to a school.	state_fact
The pencils are divided evenly among 9 classrooms.	separate_entities
The rest of the pencils are given to the library.	state_fact
How many pencils were donated to the school and to the library?	state_fact
Manny owns 83 sets of basketball cards.	possess
Each set has exactly 504 cards.	duplication
What is the total number of basketball cards manny owns?	possess
The city park is 9 2/5 miles from roland elementary school.	state_fact
The city library is 3 3/10 miles from the same school.	state_fact
How much farther from the school is the park than the library?	state_fact
Ginny paid $4.16 for a sandwich.	state_fact
She paid $0.95 for a piece of fruit.	state_fact
What is the total amount ginny paid for the sandwich and fruit?	state_fact
Randa ate 3/8 of a pizza, and marvin ate 1/4 of the same pizza.	use_resource
What fraction of the pizza did randa and marvin eat?	use_resource
Megan had 217 markers.	possess
Robert gave her 109 more markers.	transfer_goods_negative
How many markers does megan have altogether?	possess
A dvd book holds 126 dvds.	contain
There are 81 dvds already in the book.	existence
How many more dvds can be put in the book?	addition
Carla has some marbles.	possess
She bought 489 marbles.	transfer_money
Now she has 2778 marbles all together.	possess
How many did she start with?	possess
Paco had 93 cookies.	possess
He ate 15 of them.	use_resource
How many cookies did paco have left?	possess
Kelly has 121 nintendo games.	possess
How many does she need to give away so that she will have 22 games left?	require
Connie had some marbles.	possess
She gave 183 to juan.	transfer_goods_negative
Now she has 593 marbles left.	possess
How many did she have to start with?	possess
Connie has 2315 red markers and 1028 blue markers.	possess
How many markers does she have altogether?	possess
Misha has 34 dollars.	possess
How many more dollars does she have to earn to have 47 dollars?	addition
There were 28 girls and 35 boys on the playground at recess.	existence
How many children were there in all?	existence
There were 51 geese in the farmer’s field.	existence
28 of the geese flew away.	state_fact
How many geese were left?	existence
The elephant had 407 peanuts.	possess
She ate 129 of them.	use_resource
How many peanuts did the elephant have left?	possess
There were 44 boys and 53 girls on the playground at recess.	existence
How many children were on the playground in all?	state_fact
There were 58 geese and 37 ducks in the marsh.	existence
How many birds were there in all?	existence
Paul had 42 strawberries in his basket.	possess
He picked 78 more strawberries.	choose
How many strawberries did he have then?	possess
Cindy had 41 pieces of candy.	possess
She ate six pieces in the morning, and twelve more pieces in the afternoon.	use_resource
How many pieces of candy does she have left?	possess
Robert wants to practice goal kicks for soccer.	state_fact
He decides to have 98 kicks before going home from the park.	possess
He takes 43 kicks before taking a break to get a drink of water.	transfer_goods_positive
He then takes another 36 kicks.	transfer_goods_positive
How many more kicks does he need to make before he goes home?	addition
Cindy has 105 stickers.	possess
She uses 23 stickers.	use_resource
She buys 45 more stickers.	transfer_money
How many stickers does cindy have now?	possess
Brian has 39 pencils.	possess
He gives 18 pencils to a friend.	transfer_goods_negative
He buys 22 more pencils.	transfer_money
How many pencils does brian have now?	possess
Karen has 252 markers.	possess
Her mother gives her 34 more markers.	transfer_goods_negative
Karen loses 11 markers.	use_resource
How many markers does she have now?	possess
Robin had 18 pieces of gum.	possess
Her brother gave her some more pieces.	transfer_goods_negative
Now robin has 44 pieces in all.	possess
How many pieces of gum did robin's brother give her?	transfer_goods_negative
Bobby has 142 books.	possess
Kristi has 78 books.	possess
How many more books does bobby have than kristi?	addition
Tommy had some balloons.	possess
His mom gave him 34 more balloons for his birthday.	transfer_goods_negative
Then, tommy had 60 balloons.	possess
How many balloons did tommy have to start with?	possess
Alex had some candles for his jack o‘ lanterns.	possess
He used 32 of them.	use_resource
Now he has 12 left.	possess
How many candles did alex have to start with?	possess
There were 14 kids on the soccer field.	existence
22 kids decided to join in.	state_fact
Now how many kids are on the soccer field?	state_fact
Suppose you want to buy three loaves of bread that cost $1.50 each and a jar of peanut butter that costs $4.	transfer_money
A jar of jelly is $2.75, but you don’t need any jelly.	require
You have $10.	possess
How much money will you have left over?	possess
The star running back on our football team got most of his total yardage running.	getting
The rest was catching passes.	state_fact
He caught passes for 60 yards.	state_fact
His total yardage was 150 yards.	state_fact
The running back for the other team got 200 yards.	getting
How many yards did the star running back on our football team get running?	getting
The average temperature in lincoln in july is 85 degrees.	state_fact
Last wednesday, it was 90 degrees.	state_fact
Today it was 15 degrees cooler than last wednesday.	state_fact
What was the temperature today?	state_fact
Julie’s yard is rectangular.	state_fact
One side of the yard is 100 feet wide.	state_fact
